group_id,location,cause,value_2023,value_2030,value_2040,pct_change_2030,pct_change_2040
AUS_anxiety,AUS,anxiety,1314.065564893269,1910.2009322115684,2778.6817029252,45.36572475869715,111.45685399273742
AUS_dementia,AUS,dementia,971.7460481742356,1064.7045698970653,1215.078594098213,9.56613324000491,25.040754874296894
AUS_cancer_liver,AUS,cancer_liver,198.0236192375081,210.4112000643736,225.04361945046776,6.255607727282234,13.644837073981606
AUS_asthma,AUS,asthma,519.2724520989958,541.2196715879359,541.2900421781982,4.226532603496548,4.240084370007146
AUS_ckd,AUS,ckd,379.29603956613136,387.81453519975537,387.81453519975537,2.245869912949299,2.245869912949299
AUS_cancer_prostate,AUS,cancer_prostate,311.144354590589,314.6705030949537,316.6095228879533,1.133283780451195,1.7564735521412551
AUS_depression,AUS,depression,751.603648876714,755.6817697806766,755.6817697806766,0.5425892902539029,0.5425892902539029
AUS_cancer_all,AUS,cancer_all,4345.346809406706,4330.501290744209,4333.413845439398,-0.3416417449203297,-0.2746147658795758
AUS_dm_type1,AUS,dm_type1,45.22912408600074,45.062203375348346,45.062203375348346,-0.3690558108863674,-0.3690558108863674
AUS_copd,AUS,copd,732.0243955162972,728.7103788388172,728.7103788388172,-0.4527194309067594,-0.4527194309067594
AUS_dm_type2,AUS,dm_type2,612.4571620071526,602.640409240536,602.640409240536,-1.6028472480336553,-1.6028472480336553
AUS_cancer_lung,AUS,cancer_lung,733.0852836590373,717.048001537092,716.742845384759,-2.1876420764987454,-2.2292683591612295
AUS_hypertensive_hd,AUS,hypertensive_hd,72.5264172058071,69.72707836599479,69.72707836599479,-3.8597506228229648,-3.8597506228229648
AUS_self_harm,AUS,self_harm,544.5900087365549,511.0819583734937,511.0819583734937,-6.152894806278141,-6.152894806278141
AUS_cancer_colorectal,AUS,cancer_colorectal,478.44372103516906,442.82036508663913,404.3201592638267,-7.4456732071756795,-15.492639679953857
AUS_stroke,AUS,stroke,719.8602409630649,604.2634330039028,497.5014274338972,-16.058229275798162,-30.889164434430356
AUS_cancer_breast,AUS,cancer_breast,340.9692127296179,295.1370455164792,226.05108007964984,-13.44173183444651,-33.703375073073225
AUS_ihd,AUS,ihd,1375.5869899412814,1113.3846442769586,798.8246493120794,-19.06112427506422,-41.92845271485316
