group_id,location,cause,pre_trend_slope,deviation_2020_pct,deviation_2023_pct,mean_deviation_pct,recovery_status
AUS_anxiety,AUS,anxiety,31.65,8.8,16.1,11.0,Shifted
AUS_asthma,AUS,asthma,14.14,-1.4,-8.5,-5.2,Shifted
AUS_cancer_all,AUS,cancer_all,-32.04,-2.7,1.6,0.3,Recovered
AUS_cancer_breast,AUS,cancer_breast,-3.66,-2.7,-2.0,-2.0,Recovered
AUS_cancer_colorectal,AUS,cancer_colorectal,-11.31,-0.4,6.7,3.5,Shifted
AUS_cancer_liver,AUS,cancer_liver,4.34,-4.4,-7.0,-5.4,Shifted
AUS_cancer_lung,AUS,cancer_lung,-5.46,-5.3,-3.5,-2.9,Recovered
AUS_cancer_prostate,AUS,cancer_prostate,0.74,-2.1,2.7,0.5,Recovered
AUS_ckd,AUS,ckd,-8.84,3.2,19.7,11.9,Shifted
AUS_copd,AUS,copd,-3.68,-7.0,1.8,-2.2,Recovered
AUS_dementia,AUS,dementia,9.23,-1.4,5.0,2.0,Shifted
AUS_depression,AUS,depression,7.45,5.3,-1.3,4.0,Recovered
AUS_dm_type1,AUS,dm_type1,0.59,-1.5,-3.3,-2.0,Recovered
AUS_dm_type2,AUS,dm_type2,9.99,-0.3,-1.0,-0.0,Recovered
AUS_hypertensive_hd,AUS,hypertensive_hd,-0.72,-4.4,2.8,0.1,Recovered
AUS_ihd,AUS,ihd,-44.2,-2.7,13.6,6.5,Shifted
AUS_self_harm,AUS,self_harm,3.12,-4.2,-13.9,-8.5,Shifted
AUS_stroke,AUS,stroke,-15.48,-2.6,4.7,2.2,Recovered
CAN_anxiety,CAN,anxiety,4.21,15.8,32.6,21.2,Shifted
CAN_asthma,CAN,asthma,6.38,-0.0,-1.7,-1.0,Recovered
CAN_cancer_all,CAN,cancer_all,-3.95,0.2,4.7,2.1,Recovered
CAN_cancer_breast,CAN,cancer_breast,-2.75,0.1,5.6,2.5,Shifted
CAN_cancer_colorectal,CAN,cancer_colorectal,-2.52,0.5,6.7,3.2,Shifted
CAN_cancer_liver,CAN,cancer_liver,4.2,-0.2,-0.9,-1.0,Recovered
CAN_cancer_lung,CAN,cancer_lung,-15.87,-1.1,6.8,1.5,Shifted
CAN_cancer_prostate,CAN,cancer_prostate,4.15,0.3,3.7,1.6,Recovered
CAN_ckd,CAN,ckd,6.82,4.1,6.6,4.8,Shifted
CAN_copd,CAN,copd,10.01,-6.7,-2.0,-5.7,Recovered
CAN_dementia,CAN,dementia,15.49,-1.9,-1.9,-1.8,Recovered
CAN_depression,CAN,depression,1.97,18.0,17.3,15.4,Shifted
CAN_dm_type1,CAN,dm_type1,1.2,3.1,-2.9,0.9,Recovered
CAN_dm_type2,CAN,dm_type2,14.08,0.6,0.2,0.1,Recovered
CAN_hypertensive_hd,CAN,hypertensive_hd,4.38,3.2,1.7,2.8,Recovered
CAN_ihd,CAN,ihd,-15.81,3.2,6.3,3.7,Shifted
CAN_self_harm,CAN,self_harm,-5.06,5.5,0.8,3.6,Recovered
CAN_stroke,CAN,stroke,5.03,0.2,4.6,1.4,Recovered
GBR_anxiety,GBR,anxiety,17.45,20.0,37.8,25.7,Shifted
GBR_asthma,GBR,asthma,-17.52,0.7,14.2,8.0,Shifted
GBR_cancer_all,GBR,cancer_all,-17.89,0.5,7.7,2.0,Shifted
GBR_cancer_breast,GBR,cancer_breast,-4.98,1.0,9.4,2.4,Shifted
GBR_cancer_colorectal,GBR,cancer_colorectal,3.33,0.9,8.5,2.5,Shifted
GBR_cancer_liver,GBR,cancer_liver,4.89,0.6,2.0,-1.3,Recovered
GBR_cancer_lung,GBR,cancer_lung,-20.2,0.2,11.2,2.9,Shifted
GBR_cancer_prostate,GBR,cancer_prostate,0.39,1.7,8.9,2.2,Shifted
GBR_ckd,GBR,ckd,9.7,-1.3,-0.9,-2.9,Recovered
GBR_copd,GBR,copd,-2.73,-7.1,-3.7,-6.6,Recovered
GBR_dementia,GBR,dementia,1.86,-0.5,2.4,0.4,Recovered
GBR_depression,GBR,depression,16.26,23.6,22.7,22.6,Shifted
GBR_dm_type1,GBR,dm_type1,0.57,0.3,1.8,1.2,Recovered
GBR_dm_type2,GBR,dm_type2,18.39,1.5,-0.2,0.6,Recovered
GBR_hypertensive_hd,GBR,hypertensive_hd,1.29,5.7,15.6,9.0,Shifted
GBR_ihd,GBR,ihd,-25.45,4.8,22.0,11.1,Shifted
GBR_self_harm,GBR,self_harm,6.37,0.3,-3.8,-0.6,Recovered
GBR_stroke,GBR,stroke,-20.85,2.2,13.9,5.7,Shifted
NZL_anxiety,NZL,anxiety,-1.54,7.8,17.2,10.9,Shifted
NZL_asthma,NZL,asthma,0.26,-0.7,1.1,0.1,Recovered
NZL_cancer_all,NZL,cancer_all,-42.09,-2.8,13.8,4.7,Shifted
NZL_cancer_breast,NZL,cancer_breast,-6.31,-1.6,18.8,7.6,Shifted
NZL_cancer_colorectal,NZL,cancer_colorectal,-13.58,-1.6,22.3,9.6,Shifted
NZL_cancer_liver,NZL,cancer_liver,-0.99,-2.6,15.6,5.0,Shifted
NZL_cancer_lung,NZL,cancer_lung,-7.6,-2.2,15.0,6.0,Shifted
NZL_cancer_prostate,NZL,cancer_prostate,2.86,-4.2,8.9,1.5,Shifted
NZL_ckd,NZL,ckd,10.98,-3.2,3.8,-0.5,Recovered
NZL_copd,NZL,copd,-1.36,-3.1,8.3,0.9,Shifted
NZL_dementia,NZL,dementia,8.34,-4.4,5.1,0.1,Shifted
NZL_depression,NZL,depression,1.83,12.1,11.0,11.3,Shifted
NZL_dm_type1,NZL,dm_type1,0.53,-3.1,-2.5,-2.9,Recovered
NZL_dm_type2,NZL,dm_type2,17.2,-1.7,2.3,-0.3,Recovered
NZL_hypertensive_hd,NZL,hypertensive_hd,2.15,-0.7,2.2,0.7,Recovered
NZL_ihd,NZL,ihd,-23.57,-3.6,12.0,3.9,Shifted
NZL_self_harm,NZL,self_harm,8.98,-6.7,-5.0,-6.8,Recovered
NZL_stroke,NZL,stroke,-9.04,-5.5,8.4,1.7,Shifted
USA_anxiety,USA,anxiety,-3.01,23.1,49.1,31.6,Shifted
USA_asthma,USA,asthma,0.11,1.1,9.3,4.3,Shifted
USA_cancer_all,USA,cancer_all,-40.82,2.6,4.0,3.5,Recovered
USA_cancer_breast,USA,cancer_breast,-4.02,2.0,2.4,2.1,Recovered
USA_cancer_colorectal,USA,cancer_colorectal,-2.81,3.2,6.0,4.9,Shifted
USA_cancer_liver,USA,cancer_liver,3.2,-0.2,-2.7,-1.5,Recovered
USA_cancer_lung,USA,cancer_lung,-33.27,3.0,8.0,5.4,Shifted
USA_cancer_prostate,USA,cancer_prostate,3.38,1.9,0.8,1.1,Recovered
USA_ckd,USA,ckd,25.85,2.1,-0.3,0.6,Recovered
USA_copd,USA,copd,7.18,-3.5,-5.1,-4.5,Shifted
USA_dementia,USA,dementia,12.87,0.2,0.1,0.2,Recovered
USA_depression,USA,depression,-3.45,21.2,22.4,20.3,Shifted
USA_dm_type1,USA,dm_type1,0.73,3.4,2.2,3.2,Recovered
USA_dm_type2,USA,dm_type2,25.84,0.6,3.0,1.6,Recovered
USA_hypertensive_hd,USA,hypertensive_hd,17.26,2.6,-4.0,0.4,Recovered
USA_ihd,USA,ihd,-18.36,2.4,3.0,3.1,Recovered
USA_self_harm,USA,self_harm,3.83,1.7,-6.3,-0.5,Shifted
USA_stroke,USA,stroke,8.24,1.8,0.2,1.9,Recovered
