group_id,location,cause,volatility,arima_mae
AUS_anxiety,AUS,anxiety,2.0598557088147165,107.79675106817055
AUS_asthma,AUS,asthma,1.7559485788168363,4.075679087622643
AUS_cancer_all,AUS,cancer_all,1.2536757964770853,75.69411464012592
AUS_cancer_breast,AUS,cancer_breast,1.4650735026909272,8.109439061277465
AUS_cancer_colorectal,AUS,cancer_colorectal,1.4144195359181306,9.101728939499719
AUS_cancer_liver,AUS,cancer_liver,2.6694642945597695,29.601236636135894
AUS_cancer_lung,AUS,cancer_lung,2.124953196342529,32.36478025083456
AUS_cancer_prostate,AUS,cancer_prostate,2.5700555848149493,11.57625387006234
AUS_ckd,AUS,ckd,2.900602033058828,60.949992336227396
AUS_copd,AUS,copd,2.655827622983153,23.001748314680025
AUS_dementia,AUS,dementia,1.2631635519930762,27.167302053886395
AUS_depression,AUS,depression,3.347036736360049,34.31396462837665
AUS_dm_type1,AUS,dm_type1,1.2712012121160625,1.0096066882048091
AUS_dm_type2,AUS,dm_type2,1.9712691779217633,11.927408891844426
AUS_hypertensive_hd,AUS,hypertensive_hd,4.081754040536749,9.801169311410252
AUS_ihd,AUS,ihd,2.4474365230602673,131.73487992062405
AUS_self_harm,AUS,self_harm,3.531874539487437,20.766434690146774
AUS_stroke,AUS,stroke,1.8862779532402207,34.96286535997433
CAN_anxiety,CAN,anxiety,3.3511489375690786,107.59840171283084
CAN_asthma,CAN,asthma,2.242599137844433,9.022687485205063
CAN_cancer_all,CAN,cancer_all,0.761603821959421,74.93802051755374
CAN_cancer_breast,CAN,cancer_breast,1.2338765043640696,9.956005875586971
CAN_cancer_colorectal,CAN,cancer_colorectal,1.0120997529376046,13.732581981595876
CAN_cancer_liver,CAN,cancer_liver,2.1070577406227566,2.744269310324745
CAN_cancer_lung,CAN,cancer_lung,2.1976079045240224,24.943470860174102
CAN_cancer_prostate,CAN,cancer_prostate,1.7511832394322184,9.867657138435783
CAN_ckd,CAN,ckd,2.414473686351236,10.115877132592459
CAN_copd,CAN,copd,1.9891251891881088,67.29823107728683
CAN_dementia,CAN,dementia,0.6830072735814443,13.152354587078957
CAN_depression,CAN,depression,4.958237258289172,68.05598407981486
CAN_dm_type1,CAN,dm_type1,1.8618500034203596,1.9141620654391858
CAN_dm_type2,CAN,dm_type2,2.272770479803866,2.0744387113302536
CAN_hypertensive_hd,CAN,hypertensive_hd,3.333390490380472,5.403567255969117
CAN_ihd,CAN,ihd,1.623673928182375,27.674815305724177
CAN_self_harm,CAN,self_harm,1.9460043886506515,12.967497561468303
CAN_stroke,CAN,stroke,1.5915185385335249,15.97210371214942
GBR_anxiety,GBR,anxiety,4.201544484128991,240.68523322351638
GBR_asthma,GBR,asthma,1.4626573116531913,31.093810877422563
GBR_cancer_all,GBR,cancer_all,1.5536751862405975,138.41241292193573
GBR_cancer_breast,GBR,cancer_breast,2.00950265314165,12.281168969598365
GBR_cancer_colorectal,GBR,cancer_colorectal,2.12091675936096,17.069128786731973
GBR_cancer_liver,GBR,cancer_liver,3.063577650642934,4.974671460971325
GBR_cancer_lung,GBR,cancer_lung,1.976236304881018,32.930178248322775
GBR_cancer_prostate,GBR,cancer_prostate,2.2443445261656394,11.777644183021994
GBR_ckd,GBR,ckd,2.7904240708562216,21.409006314120017
GBR_copd,GBR,copd,2.8218702958185626,75.44378101299017
GBR_dementia,GBR,dementia,1.413917541699868,23.43719160372634
GBR_depression,GBR,depression,4.5963498309248365,205.67287610269506
GBR_dm_type1,GBR,dm_type1,1.3470636734176118,0.42231194374142833
GBR_dm_type2,GBR,dm_type2,1.804087533462166,8.264776281317017
GBR_hypertensive_hd,GBR,hypertensive_hd,2.903264999477066,12.366814581706686
GBR_ihd,GBR,ihd,3.374902308416081,322.7847987248325
GBR_self_harm,GBR,self_harm,2.231080234723013,11.129062396755296
GBR_stroke,GBR,stroke,2.884401396924359,61.46574700435387
NZL_anxiety,NZL,anxiety,1.6291402330449913,89.58078269679875
NZL_asthma,NZL,asthma,1.4241909509646162,7.789584809391295
NZL_cancer_all,NZL,cancer_all,1.869556762888602,199.52745841633515
NZL_cancer_breast,NZL,cancer_breast,2.661081267598303,14.966222403225776
NZL_cancer_colorectal,NZL,cancer_colorectal,2.531219094066462,27.327309460270204
NZL_cancer_liver,NZL,cancer_liver,5.327736674668134,16.78427961313121
NZL_cancer_lung,NZL,cancer_lung,2.3655103052134407,36.823938299746466
NZL_cancer_prostate,NZL,cancer_prostate,4.873393853834447,14.261386893775057
NZL_ckd,NZL,ckd,3.3421303237510314,22.847841892167413
NZL_copd,NZL,copd,3.19198272642575,22.711018902613567
NZL_dementia,NZL,dementia,1.8248389593861083,20.186261499907165
NZL_depression,NZL,depression,2.10263443088452,51.23541167481983
NZL_dm_type1,NZL,dm_type1,1.935902908060359,0.5630204076071628
NZL_dm_type2,NZL,dm_type2,1.8043042082370233,38.32284793333847
NZL_hypertensive_hd,NZL,hypertensive_hd,6.588490299879397,6.126739805093291
NZL_ihd,NZL,ihd,2.4928123166563996,129.80389337373063
NZL_self_harm,NZL,self_harm,3.152728412186929,20.325044592930453
NZL_stroke,NZL,stroke,2.707705266282577,34.36846137428379
USA_anxiety,USA,anxiety,4.818789100808417,144.65874826272102
USA_asthma,USA,asthma,1.3052913995288336,20.174121999876366
USA_cancer_all,USA,cancer_all,0.7568442054824751,100.92354427855116
USA_cancer_breast,USA,cancer_breast,0.8796905425589339,11.21059892256045
USA_cancer_colorectal,USA,cancer_colorectal,1.2416339372653071,15.172125491466556
USA_cancer_liver,USA,cancer_liver,1.4665066004998635,8.623410811893455
USA_cancer_lung,USA,cancer_lung,1.161405681371094,55.01283634612291
USA_cancer_prostate,USA,cancer_prostate,1.8237583843767424,16.75282601568201
USA_ckd,USA,ckd,2.294937230653068,6.334312547958348
USA_copd,USA,copd,1.6528305020029195,66.43961271192097
USA_dementia,USA,dementia,0.7905127753713788,3.8609757864649055
USA_depression,USA,depression,3.785512863064933,135.85359671909268
USA_dm_type1,USA,dm_type1,1.8844862203078454,5.363864311782143
USA_dm_type2,USA,dm_type2,1.1351757090510952,24.397834290648735
USA_hypertensive_hd,USA,hypertensive_hd,2.0245999840865365,20.47978481843402
USA_ihd,USA,ihd,1.8151448767390397,77.47227317061387
USA_self_harm,USA,self_harm,2.4272358633160205,26.065655195983663
USA_stroke,USA,stroke,1.7310043606868426,17.65974257328917
